audio_name,applied_effects,GA_effects,similarity_indv,best_fit
85.mp3,"{3: {'gain_db': -7.43}, 5: {'wet_level': 0.34}, 0: {'rate_hz': 1.44}, 2: {'drive_db': 8.55}, 1: {'delay_seconds': 1.12}}","{5: {'wet_level': 0.57}, 3: {'gain_db': 9.45}, 2: {'drive_db': 13.92}, 4: {'depth': 0.52}, 0: {'rate_hz': 5.25}, 1: {'delay_seconds': 4.14}}",0.3759197458857678,
86.mp3,"{3: {'gain_db': -1.32}, 1: {'delay_seconds': 3.44}, 5: {'wet_level': 0.33}}",{1: {'delay_seconds': 1.43}},0.13856589147286824,
87.mp3,"{4: {'depth': 0.24}, 5: {'wet_level': 0.32}, 1: {'delay_seconds': 4.67}, 3: {'gain_db': 1.24}}",{1: {'delay_seconds': 4.55}},0.243576017130621,
88.mp3,"{4: {'depth': 0.3}, 0: {'rate_hz': 11.73}, 5: {'wet_level': 0.25}, 1: {'delay_seconds': 3.87}, 2: {'drive_db': 12.76}, 3: {'gain_db': 6.84}}","{0: {'rate_hz': 11.26}, 2: {'drive_db': 1.33}, 4: {'depth': 0.39}, 1: {'delay_seconds': 1.14}}",0.3431229028564936,
89.mp3,"{4: {'depth': 0.35}, 5: {'wet_level': 0.23}}","{3: {'gain_db': -4.09}, 4: {'depth': 0.5}}",0.2857142857142857,
90.mp3,"{2: {'drive_db': 19.21}, 4: {'depth': 0.39}}","{2: {'drive_db': 12.07}, 4: {'depth': 0.4}}",0.8013387792148854,
91.mp3,"{3: {'gain_db': -2.2}, 2: {'drive_db': 3.59}, 0: {'rate_hz': 1.5}, 4: {'depth': 0.36}, 1: {'delay_seconds': 3.77}}","{4: {'depth': 0.46}, 2: {'drive_db': 17.58}, 5: {'wet_level': 0.41}, 1: {'delay_seconds': 3.01}}",0.33362035290422104,
92.mp3,"{1: {'delay_seconds': 3.88}, 5: {'wet_level': 0.24}, 2: {'drive_db': 14.0}, 3: {'gain_db': -4.57}}",{1: {'delay_seconds': 3.18}},0.20489690721649487,
93.mp3,{5: {'wet_level': 0.51}},"{3: {'gain_db': 3.64}, 4: {'depth': 0.44}}",0.0,
94.mp3,"{1: {'delay_seconds': 3.46}, 5: {'wet_level': 0.47}, 3: {'gain_db': 9.41}, 2: {'drive_db': 8.08}, 0: {'rate_hz': 17.24}, 4: {'depth': 0.43}}","{5: {'wet_level': 0.23}, 4: {'depth': 0.36}, 0: {'rate_hz': 16.27}, 1: {'delay_seconds': 2.46}}",0.4968815270421143,
95.mp3,"{5: {'wet_level': 0.32}, 0: {'rate_hz': 7.55}, 2: {'drive_db': 3.87}, 1: {'delay_seconds': 1.04}, 3: {'gain_db': -8.8}, 4: {'depth': 0.34}}","{0: {'rate_hz': 10.7}, 4: {'depth': 0.4}}",0.26175289392865575,
96.mp3,"{0: {'rate_hz': 13.41}, 3: {'gain_db': -4.64}, 1: {'delay_seconds': 4.76}, 5: {'wet_level': 0.54}, 4: {'depth': 0.44}, 2: {'drive_db': 3.01}}","{4: {'depth': 0.49}, 1: {'delay_seconds': 3.22}}",0.2604723707664884,
97.mp3,"{2: {'drive_db': 18.62}, 1: {'delay_seconds': 2.35}, 3: {'gain_db': 6.32}, 5: {'wet_level': 0.53}}",{4: {'depth': 0.35}},0.0,
98.mp3,"{4: {'depth': 0.44}, 2: {'drive_db': 8.71}, 1: {'delay_seconds': 3.75}, 0: {'rate_hz': 5.72}, 3: {'gain_db': -8.71}, 5: {'wet_level': 0.21}}","{0: {'rate_hz': 11.01}, 3: {'gain_db': -7.68}}",0.26561263655584144,
